CompName,id
"ООО ""ПГ ""Фосфорит""",RUFSF
"АО ""Черногорский РМЗ""",4700
Eurochem Group UAE Branch,AEEAG
"АО ""Кабактинское""",4800
"ООО ""АЛТАЙ-СУЭК""",4900
"ООО ""СУЭК-Хакасия""",4F00
"ООО ""ДУКП ПРИМОРСКИЙ""",6C00
"ООО ""Приморская ГРЭС""",X100
SUEK Polska,7Q00
SUEK Securities D.A.C.,7S00
СУЭК-Спешелти Минералз,F187
"ЧОУ ДПО ""Энергоцентр""",Y600
"ООО ""ЕвроХим-Невинномысск""",RUENE
"АО ""Бийскэнерго""",W300
"АО ""БМЗ""",RUBMZ
"АО ""СИБЭКО""",Y100
"ООО ""Тепло""",Y200
SUEK Middle East DMCC,7C00
"АО ""Разрез Тугнуйский""",3D00
"ООО ""Тугнуйское ПТУ""",3G00
"ООО ""БГTК""",9T00
"ООО ""Корунд""",9Y00
"ООО ""Уголь-Инжиниринг""",VI00
"ООО ""МС Торнадо""",Y800
"ООО ""Бамовская ТЭС-1""",R100
FERCO - Cyprus,S300
"ООО ""ЕХ Дальний восток""",RUFET
Corrigo Fertilizers LLC,AECOR
"ООО ""Кингисепп-ремстройсе",RURKN
"АО ""Барнаульская ТЭЦ-3""",W200
ООО Русбонд-ЕвроХим,RUSBO
АО «ГКХ «Ушгер»,KZUSH
"АО ""Лучегорский УР""",6A00
"ООО ""ДК Химиков""",RUDKH
"ООО ""Приморскуголь""",6100
"ООО ""Хабаровск-СУЭК""",6600
"АО ""МАСКО""",9H00
"ООО ""БКЗ""",9O00
Black Sand Commodities,7B00
"ООО ""ЕТН""",RUETN
"АО ""Енисейская ТГК""",V100
"АО ""Красноярская ТЭЦ-1""",V200
"АО ""Назаровская ГРЭС""",V300
"АО ""КрасТеплТрансКом""",V400
"SUEK AG, HANOI RO",7G00
"ООО ""СИБИРСКИЙ БИТ""",UB00
ООО «ЕХСЗ-2»,RUNWT
"ООО ""КБС-ЛОГИСТИК""",1X00
"ООО ""РУСБОНД-СУЭК""",1V00
"ООО ""АНГК""",RUANG
"НПО ""Элсиб"" ПАО",Y700
"ООО ""Восточно-Бейский раз",4100
"АО ""Разрез Изыхский""",4300
"ООО ""ЕТУ""",RUBGG
EUROCHEM TERMINAL SILLAMÄ,EETNK
"ООО ""НевРСС""",RURNE
"АО ""НАК ""АЗОТ""",RUNAK
ООО «ПротехЛаб»,RUPTL
"ООО ""Пасифик Траст Марин""",9G00
SST Beijing,C200
ООО «Протех Инжиниринг»,RUPRO
"ООО ""АРМУ""",6B00
"ООО ""СУЭК-Финанс""",1800
ООО «МСЧ «УГОЛЬЩИК»,2U00
"ООО ""Атлантик Траст Марин",9F00
