CompName,id
"АО ""НТК""",1N00
"АО ""БарнаулТепСетКом""",W500
"ООО ""ЕСК СУЭК""",2400
"ООО ""ЛД ""Промтранс""",4H00
"ООО ""Назаровское ГМНУ""",2500
"ООО ""Гринфин""",2800
"ООО ""ВРЗ""Депо НТК""",RUDPO
"ООО ""ЕВРОХИМ-БЕЛОРЕЧЕНСК""",RUEBE
"АО ""Невинномысский Азот""",RUNEV
SUEK Assets Holding AG,7E00
"ООО ""ЕвроХим-СаратовКалий",RUESK
"АО ""Рубцовский ТЭК""",W600
"ООО ""АИМ Холдинг""",1I00
"ООО ""Нитрохимпром""",1K00
МК «СУЭК ЛТД» (ООО),1L00
"ООО ""АИМ ЦИФРОВЫЕ ТЕХНОЛО",1M00
EuroChem Group AG Trading,CHETD
"ООО ""Разрез Сереульский""",2F00
EurochemTrading ME DMCC,AETRD
"АО ""СУЭК-Красноярск""",2100
"АО ""Ургалуголь""",6700
SUEK AG (Taiwan branch),7300
"АО ""БарнаулГенерация""",W100
"ООО ""Тугнуйская ОФ""",3F00
"АО ""Разрез Березовский""",2D00
"ООО ""Новомосковск-ремстро",RURNM
SUEK Korea Ltd,7M00
"ООО ""ЕвроХим-БМУ""",RUBMU
"АО ""Разрез Назаровский""",2N00
"ООО ""ЕвроХим Тракс""",RUTRU
ООО ФОСАЗОТ,TE10
ООО АгроКалий,TE20
ООО «Лидер.Партнеры»,TE30
ООО «Контролальдилит»,TE40
ООО КарбонПро,TS10
ООО «Феррум плюс»,TS20
ООО «Энерго-Атлантик»,TS30
IC Nord Harvest Holding LLC,RUAIM
ООО ПГ Фосфорит,RUFSF
Iron Maritime,LRIRM
Агроцентр Курск,RUTKU
EuroChem Agro Asia Pte. Ltd.,SGEAA
EUROCHEM MCC - RUMKK,RUMKK
Agrocenter EuroChem Srl,MDAGR
EuroChem Agro México SA de CV,MXEAM
RUESM - ОСП Липецк,RUESM
RUESM - ОСП Невинномысск,RUESM
RUESM - ОСП Новомосковск,RUESM
Агроцентр Новомосковск,RUDNM
АО Березниковский механический завод,RUBMZ
Агроцентр Краснодар,RUDKR
EuroChem Agro Fertilizer Trade LLP,TREAF
Агроцентр Украина,UAAGR
RUEMO - ОСП Новомосковск,RUEMO
EuroChem Finance DAC,IEFIN
ООО ЕвроХим-Проект,RUTOM
ООО Тонус-плюс,RUTON
RUESM -ОСП Орел,RUESM
ООО ЕвроХим Дальний Восток,RUFET
Corrigo Fertilizers FZ-LLC,AECOR
ООО Кингисепп-ремстройсервис,RURKN
ТОО ЕвроХим – Каменковская нефтегазовая компания,KZKAM
ООО Невинномысск-сервис (ранее Гостиница Зеленая),RUZEL
Trident,LRTES
